time,time_ms,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass
06:33:11,23591000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:12,23592000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:13,23593000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:14,23594000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:15,23595000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:16,23596000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:17,23597000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:18,23598000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:19,23599000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:20,23600000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:21,23601000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:22,23602000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:23,23603000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:24,23604000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:25,23605000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:26,23606000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:27,23607000,124,1243,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:28,23608000,232,1079,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:29,23609000,352,1197,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:30,23610000,430,784,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:31,23611000,561,1306,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:32,23612000,665,1040,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:33,23613000,786,1212,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:34,23614000,869,832,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:35,23615000,993,1240,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:36,23616000,1083,894,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:37,23617000,1205,1228,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:38,23618000,889,-3160,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:39,23619000,499,-3899,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:40,23620000,190,-3091,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:41,23621000,5,-1853,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:42,23622000,0,-45,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:43,23623000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:44,23624000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:45,23625000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:46,23626000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
06:33:47,23627000,0,0,Route1_trip151719020_06:30:00,8,Euro4,Gasoline,Gillig_105,Passenger
