trip_id,id,type,busStop,started,delay,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,block_id,block_name,start_diff
205178020,506,Gillig_105,217,66688.0,3090.00,506,20220111 17:35,63600,65400,217,1351,5702,452,3088.0
205179020,147,Gillig_101,217,61822.0,24.00,147,20220111 17:05,61800,65100,217,354,2702,154,22.0
205180020,146,Gillig_107,217,65059.0,6560.00,146,20220111 16:10,58500,60600,217,1351,2602,153,6559.0
205181020,147,Gillig_101,217,55139.0,1440.00,147,20220111 15:06,53700,55800,217,1351,2702,154,1439.0
205182020,124,Gillig_103,217,53347.0,5047.00,124,20220111 13:25,48300,50400,217,1351,302,1016,5047.0
205184020,145,Gillig_107,217,42623.0,24.00,145,20220111 11:45,42600,45900,217,354,902,106,23.0
205185020,506,Gillig_105,217,39619.0,20.00,506,20220111 10:59,39600,42900,217,354,602,103,19.0
205186020,129,Gillig_103,217,36622.0,22.00,129,20220111 10:14,36600,38700,217,1351,802,105,22.0
205187020,147,Gillig_101,217,33621.0,22.00,147,20220111 09:15,33600,35400,217,1351,102,101,21.0
205188020,146,Gillig_107,217,30621.0,21.00,146,20220111 08:25,30600,33600,217,354,702,104,21.0
205189020,123,Gillig_103,217,27320.0,26.00,123,20220111 07:30,27300,30600,217,354,502,102,20.0
205190020,506,Gillig_105,217,24320.0,22.00,506,20220111 06:53,24300,26400,217,1351,602,103,20.0
205191020,133,Gillig_103,217,49801.0,1.00,133,20220111 13:41,49800,51900,217,1351,5902,454,1.0
205192020,147,Gillig_101,217,18301.0,1.00,147,20220111 04:51,18300,20400,217,1351,102,101,1.0
205193020,124,Gillig_103,217,21301.0,1.00,124,20220111 05:43,21300,23400,217,1351,3702,302,1.0
205241020,135,Gillig_102,1555,55585.0,15091.00,135,20220111 13:18,47700,49500,1555,1710,1302,1351,7885.0
205242020,135,Gillig_102,1555,62274.0,14574.00,135,20220111 17:32,62100,63900,1555,1710,1302,1351,174.0
205243020,135,Gillig_102,1555,58852.0,14752.00,135,20220111 16:28,58500,60300,1555,1710,1302,1351,352.0
205244020,135,Gillig_102,1555,55585.0,15091.00,135,20220111 15:25,54900,56700,1555,1710,1302,1351,685.0
205245020,135,Gillig_102,1555,55585.0,15091.00,135,20220111 14:24,51300,53100,1555,1710,1302,1351,4285.0
205246020,135,Gillig_102,1555,34528.0,328.00,135,20220111 12:22,44100,45900,1555,1710,1302,1351,9572.0
205247020,135,Gillig_102,1555,34528.0,328.00,135,20220111 11:16,40500,42300,1555,1710,1302,1351,5972.0
205248020,135,Gillig_102,354,35390.0,0.00,135,20220111 10:03,36360,38700,354,1710,1302,1351,970.0
205249020,150,Gillig_101,1555,33021.0,21.00,150,20220111 09:13,33000,34800,1555,1710,1202,1301,21.0
