trip_id,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,route_id,block_id,block_name
205907020,124,20220111 10:03,10:05:00,10:20:00,166,756,21,3702,302
205519020,144,20220111 10:08,10:07:00,10:18:00,413,400,14,1402,1401
205666020,728,20220111 10:08,10:05:00,10:30:00,454,143,15A,1902,1501
205360020,140,20220111 10:09,10:11:00,10:21:00,400,413,14,1602,1403
204910020,145,20220111 10:10,10:15:00,10:45:00,1351,95,1,902,106
205758020,138,20220111 10:10,10:10:00,10:40:00,509,1555,16,7102,902
206773020,111,20220111 10:11,10:05:00,10:35:00,1555,1710,9,7202,903
205186020,129,20220111 10:14,10:10:00,10:45:00,217,1351,10G,802,105
206877020,703,20220111 10:15,10:20:00,10:35:00,1874,1565,DTS,3902,3302
206282020,752,20220111 10:15,10:21:00,11:30:00,354,1876,4,8102,955
204957020,147,20220111 10:15,10:20:00,10:55:00,95,145,1,102,101
206084020,727,20220111 10:16,10:15:00,10:30:00,730,1565,2A,3202,201
205497020,143,20220111 10:16,10:14:00,10:25:00,413,400,14,1502,1402
206021020,126,20220111 10:17,10:20:00,10:45:00,12,779,28,3402,2801
205168020,119,20220111 10:20,10:05:00,10:35:00,145,288,10G,1002,107
205929020,124,20220111 10:21,10:20:00,10:38:00,756,1351,21,3702,302
205489020,140,20220111 10:22,10:21:00,10:32:00,413,400,14,1602,1403
205387020,144,20220111 10:25,10:18:00,10:28:00,400,413,14,1402,1401
205733020,136,20220111 10:25,10:20:00,10:50:00,145,1423,16,7402,905
205367020,143,20220111 10:26,10:25:00,10:35:00,400,413,14,1502,1402
206061020,727,20220111 10:30,10:30:00,10:45:00,1565,730,2A,3202,201
205057020,506,20220111 10:31,10:30:00,11:00:00,145,217,10A,602,103
205075020,119,20220111 10:33,10:35:00,11:05:00,288,1351,10A,1002,107
206954020,703,20220111 10:33,10:35:00,10:50:00,1566,1874,33,3902,3302
205359020,140,20220111 10:35,10:32:00,10:42:00,400,413,14,1602,1403
205518020,144,20220111 10:36,10:28:00,10:39:00,413,400,14,1402,1401
206791020,111,20220111 10:37,10:35:00,11:05:00,1710,145,9,7202,903
205926020,124,20220111 10:37,10:40:00,10:55:00,166,756,21,3702,302
205505020,143,20220111 10:38,10:35:00,10:46:00,413,400,14,1502,1402
206038020,126,20220111 10:40,10:45:00,11:30:00,779,690,28,3402,2801
205386020,144,20220111 10:43,10:39:00,10:49:00,400,413,14,1402,1401
204956020,145,20220111 10:44,10:45:00,11:20:00,95,145,1,902,106
204909020,129,20220111 10:44,10:45:00,11:15:00,1351,95,1,802,105
206083020,727,20220111 10:44,10:45:00,11:00:00,730,1565,2A,3202,201
206880020,703,20220111 10:45,10:50:00,11:05:00,1874,1565,DTS,3902,3302
205261020,135,20220111 10:45,10:45:00,11:15:00,1710,1589,13,1302,1351
205373020,143,20220111 10:46,10:46:00,10:56:00,400,413,14,1502,1402
205650020,728,20220111 10:47,10:30:00,10:55:00,143,454,15A,1902,1501
205488020,140,20220111 10:49,10:42:00,10:53:00,413,400,14,1602,1403
205923020,112,20220111 10:51,10:56:00,11:20:00,354,756,21,5402,407
206772020,138,20220111 10:51,10:45:00,11:15:00,1555,1710,9,7102,902
205517020,144,20220111 10:53,10:49:00,11:00:00,413,400,14,1402,1401
206340020,120,20220111 10:55,11:00:00,12:00:00,1883,1351,4,4802,401
205167020,147,20220111 10:56,10:55:00,11:25:00,145,288,10G,102,101
205358020,140,20220111 10:56,10:53:00,11:03:00,400,413,14,1602,1403
205757020,136,20220111 10:56,10:50:00,11:25:00,509,1555,16,7402,905
206022020,134,20220111 10:57,11:01:00,11:35:00,354,779,28,3502,2802
205504020,143,20220111 10:58,10:56:00,11:07:00,413,400,14,1502,1402
205185020,506,20220111 10:59,11:00:00,11:55:00,217,354,10G,602,103
204921020,119,20220111 11:00,11:05:00,11:35:00,1351,95,1,1002,107
205385020,144,20220111 11:00,11:00:00,11:10:00,400,413,14,1402,1401
205948020,124,20220111 11:01,10:55:00,11:20:00,756,690,21,3702,302
206296020,501,20220111 11:02,11:00:00,12:00:00,1351,1876,4,5002,403
205665020,728,20220111 11:02,10:55:00,11:20:00,454,143,15A,1902,1501
