interval_begin,interval_end,edge_id,edge_speed,edge_density,edge_laneDensity,edge_left,edge_occupancy,edge_traveltime,edge_waitingTime,edge_entered
21600.0,22200.0,-26337,12.75,0.3,0.3,2,0.13,3.06,0.0,2
21600.0,22200.0,-26338,,,,0,,,,0
21600.0,22200.0,-26339,,,,0,,,,0
21600.0,22200.0,-26340,12.61,0.42,0.42,3,0.2,7.17,0.0,3
21600.0,22200.0,-26341,6.64,0.55,0.55,2,0.24,7.76,0.0,2
21600.0,22200.0,-26342,,,,0,,,,0
21600.0,22200.0,-26343,,,,0,,,,0
21600.0,22200.0,-26344,,,,0,,,,0
21600.0,22200.0,-26345,,,,0,,,,0
21600.0,22200.0,-26346,,,,0,,,,0
21600.0,22200.0,-26347,,,,0,,,,0
21600.0,22200.0,-26348,,,,0,,,,0
21600.0,22200.0,-26349,,,,0,,,,0
21600.0,22200.0,-26350,1.2,28.91,28.91,16,15.34,18.85,240.0,16
21600.0,22200.0,-26351,13.19,0.99,0.99,7,0.85,5.76,0.0,7
21600.0,22200.0,-26352,11.75,0.59,0.3,4,0.14,6.2,0.0,3
21600.0,22200.0,-26353,7.53,0.9,0.9,3,0.42,12.32,0.0,2
21600.0,22200.0,-26354,,,,0,,,,0
21600.0,22200.0,-26355,8.35,0.22,0.22,1,0.1,5.51,0.0,1
21600.0,22200.0,-26356,14.21,2.04,2.04,17,0.99,14.01,0.0,16
21600.0,22200.0,-26357,7.49,0.25,0.25,0,0.11,5.38,0.0,1
21600.0,22200.0,-26358,,,,0,,,,0
21600.0,22200.0,-26359,,,,0,,,,0
21600.0,22200.0,-26360,16.74,0.2,0.2,2,0.2,10.78,0.0,1
21600.0,22200.0,-26361,7.53,0.45,0.45,2,0.22,17.5,0.0,1
21600.0,22200.0,-26362,8.78,0.19,0.19,1,0.08,2.06,0.0,0
21600.0,22200.0,-26363,,,,0,,,,0
21600.0,22200.0,-26364,10.12,0.84,0.42,4,0.26,2.81,0.0,4
21600.0,22200.0,-26365,,,,0,,,,0
21600.0,22200.0,-26366,,,,0,,,,0
21600.0,22200.0,-26367,,,,0,,,,0
21600.0,22200.0,-26368,8.4,0.6,0.6,3,0.29,21.06,0.0,1
21600.0,22200.0,-26369,7.99,0.43,0.43,1,0.21,18.84,0.0,2
21600.0,22200.0,-26370,,,,0,,,,0
21600.0,22200.0,-26371,7.77,0.22,0.22,1,0.11,13.5,0.0,1
21600.0,22200.0,-26372,16.44,1.97,1.97,17,1.13,4.61,0.0,18
21600.0,22200.0,-26373,4.77,1.7,1.7,3,0.45,1.12,0.0,2
21600.0,22200.0,-26374,,,,0,,,,0
21600.0,22200.0,-26375,15.92,0.76,0.76,7,0.37,8.03,0.0,7
21600.0,22200.0,-26376,,,,0,,,,0
21600.0,22200.0,-26377,,,,0,,,,0
21600.0,22200.0,-26378,7.68,0.22,0.22,0,0.11,14.67,0.0,1
21600.0,22200.0,-26379,,,,0,,,,0
21600.0,22200.0,-26380,8.63,0.19,0.19,1,0.09,37.0,0.0,0
21600.0,22200.0,-26381,6.61,0.25,0.25,1,0.11,4.29,0.0,0
21600.0,22200.0,-26382,6.21,1.45,1.45,4,0.55,2.35,0.0,4
21600.0,22200.0,-26383,13.33,1.32,1.32,10,0.61,6.53,0.0,10
21600.0,22200.0,-26384,,,,0,,,,0
21600.0,22200.0,-26385,8.96,0.39,0.39,2,0.18,9.91,0.0,2
21600.0,22200.0,-26386,,,,0,,,,0
21600.0,22200.0,-26387,,,,0,,,,0
21600.0,22200.0,-26388,,,,0,,,,0
21600.0,22200.0,-26389,,,,0,,,,0
21600.0,22200.0,-26390,,,,0,,,,0
21600.0,22200.0,-26391,8.6,0.19,0.19,1,0.09,17.61,0.0,0
21600.0,22200.0,-26392,15.58,0.24,0.24,2,0.24,5.13,0.0,2
21600.0,22200.0,-26393,,,,0,,,,0
21600.0,22200.0,-26394,8.65,0.2,0.2,1,0.1,11.42,0.0,1
21600.0,22200.0,-26395,16.12,0.33,0.17,3,0.14,7.76,0.0,3
21600.0,22200.0,-26396,5.83,0.29,0.29,1,0.14,30.11,0.0,0
21600.0,22200.0,-26397,,,,0,,,,0
21600.0,22200.0,-26398,,,,0,,,,0
21600.0,22200.0,-26399,,,,0,,,,0
21600.0,22200.0,-2640,30.03,0.23,0.11,4,0.06,6.26,0.0,4
21600.0,22200.0,-26400,12.5,0.43,0.43,3,0.2,5.12,0.0,3
21600.0,22200.0,-26401,,,,0,,,,0
21600.0,22200.0,-26402,,,,0,,,,0
21600.0,22200.0,-26403,,,,0,,,,0
21600.0,22200.0,-26404,7.4,0.23,0.23,1,0.11,16.47,0.0,0
21600.0,22200.0,-26405,14.51,0.24,0.24,2,0.11,7.01,0.0,2
21600.0,22200.0,-26406,,,,0,,,,0
21600.0,22200.0,-26407,,,,0,,,,0
21600.0,22200.0,-26408,11.4,1.97,1.97,12,1.02,4.0,0.0,11
21600.0,22200.0,-26409,6.76,57.43,57.43,9,1.11,0.03,0.0,8
21600.0,22200.0,-2641,29.98,0.24,0.12,4,0.05,1.5,0.0,3
21600.0,22200.0,-26410,7.58,0.22,0.22,1,0.11,10.02,0.0,0
21600.0,22200.0,-26411,,,,0,,,,0
21600.0,22200.0,-26412,,,,0,,,,0
21600.0,22200.0,-26413,7.74,1.34,1.34,6,1.12,26.85,6.0,5
21600.0,22200.0,-26414,8.39,0.82,0.82,4,0.83,38.52,0.0,4
21600.0,22200.0,-26415,6.87,0.49,0.49,1,0.24,13.42,0.0,1
21600.0,22200.0,-26416,7.84,1.08,1.08,5,0.52,27.01,0.0,3
21600.0,22200.0,-26417,,,,0,,,,0
21600.0,22200.0,-26418,,,,0,,,,0
21600.0,22200.0,-26419,5.96,0.56,0.56,2,0.27,18.87,0.0,0
21600.0,22200.0,-2642,14.41,0.12,0.12,1,0.06,15.3,0.0,1
21600.0,22200.0,-26420,10.33,1.38,1.38,8,0.88,8.08,0.0,8
21600.0,22200.0,-26421,6.34,0.26,0.26,1,0.12,14.29,0.0,0
21600.0,22200.0,-26422,15.78,1.45,1.45,11,0.71,1.55,0.0,11
21600.0,22200.0,-26423,7.88,0.42,0.42,2,0.21,26.19,0.0,0
21600.0,22200.0,-26424,,,,0,,,,0
21600.0,22200.0,-26425,,,,0,,,,0
21600.0,22200.0,-26426,,,,0,,,,0
21600.0,22200.0,-26427,,,,0,,,,0
21600.0,22200.0,-26428,11.67,3.67,1.84,24,1.0,6.71,0.0,24
21600.0,22200.0,-26429,8.92,0.2,0.2,0,0.09,10.28,0.0,1
21600.0,22200.0,-2643,24.8,0.24,0.24,3,0.12,20.49,0.0,4
21600.0,22200.0,-26430,4.47,0.52,0.52,1,0.18,3.17,0.0,1
21600.0,22200.0,-26431,9.92,0.76,0.76,4,0.31,3.55,0.0,4
21600.0,22200.0,-26432,,,,0,,,,0
21600.0,22200.0,-26433,6.7,4.27,4.27,11,2.66,2.34,0.0,10
21600.0,22200.0,-26434,,,,0,,,,0
21600.0,22200.0,-26435,7.34,0.23,0.23,1,0.11,16.94,0.0,0
21600.0,22200.0,-26436,,,,0,,,,0
21600.0,22200.0,-26437,8.4,0.52,0.52,2,0.25,17.01,0.0,2
21600.0,22200.0,-26438,,,,0,,,,0
21600.0,22200.0,-26439,,,,0,,,,0
21600.0,22200.0,-2644,9.3,0.18,0.18,1,0.09,14.0,0.0,0
21600.0,22200.0,-26440,13.69,0.91,0.91,7,0.57,6.75,0.0,6
21600.0,22200.0,-26441,,,,0,,,,0
21600.0,22200.0,-26442,8.45,0.2,0.2,1,0.1,23.81,0.0,0
21600.0,22200.0,-26443,,,,0,,,,0
21600.0,22200.0,-26444,7.13,0.74,0.74,3,0.35,13.33,0.0,3
21600.0,22200.0,-26445,8.07,0.44,0.44,2,0.2,9.76,0.0,2
21600.0,22200.0,-26446,8.91,0.19,0.19,0,0.09,15.05,0.0,1
