time,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass
21721000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21722000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21723000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21724000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21725000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21726000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21727000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21728000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21729000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21730000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21731000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21732000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21733000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21734000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21735000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21736000,89,887,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21737000,189,1007,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21738000,298,1087,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21739000,393,945,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21740000,482,899,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21741000,585,1026,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21742000,669,837,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21743000,757,878,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21744000,872,1158,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21745000,963,901,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21746000,1094,1312,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21747000,1222,1281,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21748000,1304,819,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21749000,1442,1380,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21750000,1577,1354,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21751000,1614,365,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21752000,1546,-679,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21753000,1604,580,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21754000,1494,-1100,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21755000,1107,-3866,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21756000,734,-3725,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21757000,404,-3300,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21758000,62,-3422,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21759000,7,-550,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21760000,4,-28,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21761000,0,-36,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21762000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21763000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21764000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21765000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21766000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21767000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21768000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21769000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21770000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21771000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21772000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21773000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21774000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
