trip_id,id,type,busStop,lane,pos,parking,started,ended,delay,arrivalDelay,initialPersons,loadedPersons,unloadedPersons,initialContainers,loadedContainers,unloadedContainers,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,route_id,block_id,block_name,start_diff
205352020,144,Gillig_102,400,173777776#0_0,187.21,0,47026.0,47041.00,0.00,-14.00,1,0,0,0,0,0,144,20220111 13:01,47040,47640,400,413,14,1402,1401,14.0
206969020,703,Gillig_108,1566,45271084_0,126.93,0,47133.0,47134.00,33.00,33.00,0,0,0,0,0,0,703,20220111 13:04,47100,48000,1566,1874,33,3902,3302,33.0
205433020,140,Gillig_102,413,394075884#0_0,100.14,0,47239.0,47240.00,19.00,19.00,0,2,0,0,0,0,140,20220111 13:07,47220,47820,413,400,14,1602,1403,19.0
205330020,143,Gillig_102,400,173777776#0_0,187.24,0,47445.0,47461.00,0.00,-15.00,0,0,0,0,0,0,143,20220111 13:07,47460,48060,400,413,14,1502,1402,15.0
205749020,111,Gillig_103,145,-861020835#3_0,130.94,0,47655.0,47701.00,0.00,-45.00,18,1,0,0,0,0,111,20220111 13:12,47700,49800,145,1423,16,7202,903,45.0
205481020,144,Gillig_102,413,394075884#0_0,100.14,0,47659.0,47660.00,19.00,19.00,1,0,1,0,0,0,144,20220111 13:14,47640,48240,413,400,14,1402,1401,19.0
206078020,727,Gillig_108,730,-861020846#6_0,85.50,0,47719.0,47720.00,19.00,19.00,4,0,0,0,0,0,727,20220111 13:19,47700,48600,730,1565,2A,3202,201,19.0
207275020,147,Gillig_101,756,19511224#1_0,331.01,0,47777.0,47778.00,77.00,77.00,24,0,0,0,0,0,147,20220111 13:18,47700,49500,756,690,21,102,101,77.0
205326020,140,Gillig_102,400,173777776#0_0,187.23,0,47808.0,47821.00,0.00,-12.00,1,0,0,0,0,0,140,20220111 13:14,47820,48420,400,413,14,1602,1403,12.0
206895020,703,Gillig_108,1874,-862426393#4_0,240.95,0,48034.0,48035.00,34.00,34.00,1,1,0,0,0,0,703,20220111 13:15,48000,48900,1874,1565,DTS,3902,3302,34.0
207272020,146,Gillig_107,354,-19509210_0,249.72,0,48072.0,48073.00,6612.00,6612.00,14,2,0,0,0,0,146,20220111 11:26,41460,42900,354,756,21,2602,153,6612.0
205459020,143,Gillig_102,413,394075884#0_0,100.12,0,48079.0,48080.00,19.00,19.00,0,2,0,0,0,0,143,20220111 13:22,48060,48660,413,400,14,1502,1402,19.0
206022020,134,Gillig_103,354,-19509210_0,249.69,0,48107.0,48108.00,8447.00,8447.00,2,0,0,0,0,0,134,20220111 10:57,39660,41700,354,779,28,3502,2802,8447.0
205142020,150,Gillig_101,2092,-19509210_0,249.71,0,48116.0,48121.00,360.00,356.00,0,9,0,0,0,0,150,20220111 13:15,47760,51000,2092,221,10C,2302,1515,356.0
206774020,136,Gillig_102,354,-19509210_0,249.72,0,48129.0,48130.00,15069.00,15069.00,29,0,0,0,0,0,136,20220111 09:21,33060,35400,354,1710,9,7402,905,15069.0
206311020,504,Gillig_105,354,-19509210_0,249.71,0,48138.0,48139.00,6378.00,6378.00,30,0,0,0,0,0,504,20220111 04:21,15660,19800,354,1876,4,4902,402,32478.0
205166020,504,Gillig_105,354,-19509210_0,249.71,0,48138.0,48139.00,6378.00,6378.00,30,0,0,0,0,0,504,20220111 11:37,41760,44400,354,288,10G,1102,108,6378.0
205160020,126,Gillig_103,354,-19509210_0,249.71,0,48148.0,49861.00,0.00,-1712.00,10,1,0,0,0,0,126,20220111 16:12,58560,61200,354,288,10G,3002,156,10412.0
206767020,126,Gillig_103,354,-19509210_0,249.71,0,48148.0,49861.00,0.00,-1712.00,10,1,0,0,0,0,126,20220111 13:54,49860,52200,354,1710,9,7702,951,1712.0
206293020,752,Gillig_108,1351,861011659_0,111.29,0,48198.0,48201.00,3200.00,3198.00,4,5,0,0,0,0,752,20220111 12:29,45000,48600,1351,1876,4,8102,955,3198.0
205351020,144,Gillig_102,400,173777776#0_0,187.25,0,48227.0,48241.00,0.00,-13.00,0,3,0,0,0,0,144,20220111 13:27,48240,48840,400,413,14,1402,1401,13.0
205432020,140,Gillig_102,413,394075884#0_0,100.16,0,48441.0,48442.00,21.00,21.00,0,1,0,0,0,0,140,20220111 13:29,48420,49020,413,400,14,1602,1403,21.0
206055020,727,Gillig_108,1565,-215313365#1_0,126.44,0,48614.0,48615.00,14.00,14.00,5,1,0,0,0,0,727,20220111 13:33,48600,49500,1565,730,2A,3202,201,14.0
205329020,143,Gillig_102,400,173777776#0_0,187.24,0,48647.0,48661.00,0.00,-13.00,2,0,0,0,0,0,143,20220111 13:29,48660,49260,400,413,14,1502,1402,13.0
206794020,138,Gillig_102,1710,9520016_0,78.21,0,48655.0,48656.00,355.00,355.00,6,0,0,0,0,0,138,20220111 13:39,48300,50100,1710,145,9,7102,902,355.0
205480020,144,Gillig_102,413,394075884#0_0,100.16,0,48859.0,48860.00,19.00,19.00,1,0,1,0,0,0,144,20220111 13:38,48840,49440,413,400,14,1402,1401,19.0
206972020,703,Gillig_108,1566,45271084_0,126.95,0,48932.0,48933.00,32.00,32.00,0,0,0,0,0,0,703,20220111 13:36,48900,49800,1566,1874,33,3902,3302,32.0
205325020,140,Gillig_102,400,173777776#0_0,187.25,0,49007.0,49021.00,0.00,-13.00,0,0,0,0,0,0,140,20220111 13:37,49020,49620,400,413,14,1602,1403,13.0
205431020,143,Gillig_102,413,394075884#0_0,100.14,0,49279.0,49280.00,19.00,19.00,0,1,0,0,0,0,143,20220111 13:44,49260,49860,413,400,14,1502,1402,19.0
205350020,144,Gillig_102,400,173777776#0_0,187.24,0,49457.0,49458.00,17.00,17.00,3,0,0,0,0,0,144,20220111 13:44,49440,50040,400,413,14,1402,1401,17.0
206077020,727,Gillig_108,730,-861020846#6_0,85.49,0,49518.0,49519.00,18.00,18.00,5,0,0,0,0,0,727,20220111 13:50,49500,50400,730,1565,2A,3202,201,18.0
205412020,140,Gillig_102,413,394075884#0_0,100.16,0,49639.0,49640.00,19.00,19.00,1,0,1,0,0,0,140,20220111 13:47,49620,50220,413,400,14,1602,1403,19.0
205191020,133,Gillig_103,217,862060574#0_0,122.12,0,49801.0,49802.00,1.00,1.00,0,0,0,0,0,0,133,20220111 13:41,49800,51900,217,1351,10G,5902,454,1.0
206898020,703,Gillig_108,1874,-862426393#4_0,240.91,0,49833.0,49834.00,33.00,33.00,1,2,0,0,0,0,703,20220111 13:45,49800,50700,1874,1565,DTS,3902,3302,33.0
205923020,112,Gillig_103,354,-19509210_0,249.72,0,49867.0,49869.00,10508.00,10507.00,0,4,0,0,0,0,112,20220111 10:51,39360,40800,354,756,21,5402,407,10507.0
205324020,143,Gillig_102,400,173777776#0_0,187.22,0,49874.0,49875.00,14.00,14.00,0,0,0,0,0,0,143,20220111 13:49,49860,50460,400,413,14,1502,1402,14.0
205053020,124,Gillig_103,354,-19509210_0,249.72,0,49878.0,49879.00,4218.00,4218.00,34,1,0,0,0,0,124,20220111 12:35,45660,48300,354,217,10A,302,1016,4218.0
205777020,111,Gillig_103,2086,862393022#0_0,101.16,0,49878.0,49879.00,78.00,78.00,9,0,0,0,0,0,111,20220111 13:45,49800,52800,2086,354,16,7202,903,78.0
206292020,129,Gillig_103,354,-19509210_0,249.71,0,49918.0,49919.00,3658.00,3658.00,21,2,0,0,0,0,129,20220111 12:45,46260,50400,354,1876,4,6402,459,3658.0
206290020,145,Gillig_107,354,-19509210_0,249.72,0,49953.0,50161.00,0.00,-207.00,18,0,0,0,0,0,145,20220111 13:50,50160,54300,354,1876,4,5802,453,207.0
205479020,144,Gillig_102,413,394075884#0_0,100.14,0,50061.0,50062.00,21.00,21.00,3,1,0,0,0,0,144,20220111 13:55,50040,50640,413,400,14,1402,1401,21.0
205730020,138,Gillig_102,145,-861020835#3_0,130.90,0,50196.0,50197.00,96.00,96.00,8,0,1,0,0,0,138,20220111 14:04,50100,52200,145,1423,16,7102,902,96.0
205305020,140,Gillig_102,400,173777776#0_0,187.24,0,50228.0,50229.00,8.00,8.00,1,0,0,0,0,0,140,20220111 13:54,50220,50820,400,413,14,1602,1403,8.0
206054020,727,Gillig_108,1565,-215313365#1_0,126.42,0,50432.0,50433.00,32.00,32.00,4,0,0,0,0,0,727,20220111 14:02,50400,51300,1565,730,2A,3202,201,32.0
205430020,143,Gillig_102,413,394075884#0_0,100.15,0,50478.0,50481.00,20.00,18.00,3,3,3,0,0,0,143,20220111 14:01,50460,51060,413,400,14,1502,1402,18.0
205052020,147,Gillig_101,354,-19509210_0,249.70,0,50642.0,51061.00,0.00,-418.00,28,4,0,0,0,0,147,20220111 14:05,51060,53700,354,217,10A,2702,154,418.0
205349020,144,Gillig_102,400,173777776#0_0,187.25,0,50645.0,50646.00,5.00,5.00,6,1,0,0,0,0,144,20220111 14:04,50640,51240,400,413,14,1402,1401,5.0
206975020,703,Gillig_108,1566,45271084_0,126.95,0,50761.0,50762.00,61.00,61.00,0,1,0,0,0,0,703,20220111 14:03,50700,51600,1566,1874,33,3902,3302,61.0
205411020,140,Gillig_102,413,394075884#0_0,100.16,0,50838.0,50840.00,19.00,18.00,4,0,3,0,0,0,140,20220111 14:07,50820,51420,413,400,14,1602,1403,18.0
205323020,143,Gillig_102,400,173777776#0_0,187.25,0,51067.0,51068.00,7.00,7.00,0,0,0,0,0,0,143,20220111 14:09,51060,51660,400,413,14,1502,1402,7.0
205913020,119,Gillig_103,354,-19509210_0,249.71,0,51135.0,51361.00,0.00,-225.00,2,2,0,0,0,0,119,20220111 14:20,51360,52800,354,756,21,6002,455,225.0
204888020,119,Gillig_103,354,-19509210_0,249.71,0,51135.0,51361.00,0.00,-225.00,2,2,0,0,0,0,119,20220111 08:46,31860,34200,354,95,1,1002,107,19275.0
