trip_id,vid,vehicle_type,vehicle_actual_name,fuel_type,gtfs_trip_id,gtfs_time_start,gtfs_time_end
206038,126,Gillig_103,Gillig HF 35' 2002,diesel,206038,10:45:00,11:30:00
205386,144,Gillig_102,Gillig HF 2006,diesel,205386,10:39:00,10:49:00
204956,145,Gillig_107,Gillig LF 37' 2009,diesel,204956,10:45:00,11:20:00
204909,129,Gillig_103,Gillig HF 35' 2002,diesel,204909,10:45:51,11:15:00
206083,727,Gillig_108,BYD_BEV,electric,206083,10:45:00,11:00:00
206880,703,Gillig_108,BYD_BEV,electric,206880,10:50:00,11:05:00
205261,135,Gillig_102,Gillig HF 2006,diesel,205261,10:45:00,11:15:00
205373,143,Gillig_102,Gillig HF 2006,diesel,205373,10:46:00,10:56:00
205650,728,Gillig_108,BYD_BEV,electric,205650,10:30:00,10:55:00
205488,140,Gillig_102,Gillig HF 2006,diesel,205488,10:42:00,10:53:00
205923,112,Gillig_103,Gillig HF 35' 2002,diesel,205923,10:56:00,11:20:00
206772,138,Gillig_102,Gillig HF 2006,diesel,206772,10:45:00,11:15:00
205517,144,Gillig_102,Gillig HF 2006,diesel,205517,10:49:00,11:00:00
206340,120,Gillig_103,Gillig HF 35' 2002,diesel,206340,11:00:00,12:00:00
205167,147,Gillig_101,Gillig LF 35' 2014,diesel,205167,10:55:00,11:25:00
205358,140,Gillig_102,Gillig HF 2006,diesel,205358,10:53:00,11:03:00
205757,136,Gillig_102,Gillig HF 2006,diesel,205757,10:50:00,11:25:00
206022,134,Gillig_103,Gillig HF 35' 2002,diesel,206022,11:01:00,11:35:00
205504,143,Gillig_102,Gillig HF 2006,diesel,205504,10:56:00,11:07:00
205185,506,Gillig_105,Gillig 35' Hybrids 2014,hybrid,205185,11:00:00,11:55:00
204921,119,Gillig_103,Gillig HF 35' 2002,diesel,204921,11:07:01,11:20:00
205385,144,Gillig_102,Gillig HF 2006,diesel,205385,11:00:00,11:10:00
205948,124,Gillig_103,Gillig HF 35' 2002,diesel,205948,10:55:00,11:20:00
206296,501,Gillig_106,Gillig 37' Hybrids 2009,hybrid,206296,11:00:00,12:00:00
205665,728,Gillig_108,BYD_BEV,electric,205665,10:55:00,11:20:00
206060,727,Gillig_108,BYD_BEV,electric,206060,11:00:00,11:15:00
205732,111,Gillig_103,Gillig HF 35' 2002,diesel,205732,11:05:00,11:40:00
206957,703,Gillig_108,BYD_BEV,electric,206957,11:05:00,11:20:00
205372,143,Gillig_102,Gillig HF 2006,diesel,205372,11:07:00,11:17:00
205487,140,Gillig_102,Gillig HF 2006,diesel,205487,11:03:00,11:14:00
205516,144,Gillig_102,Gillig HF 2006,diesel,205516,11:10:00,11:21:00
204955,129,Gillig_103,Gillig HF 35' 2002,diesel,204955,11:15:00,12:00:00
205357,140,Gillig_102,Gillig HF 2006,diesel,205357,11:14:00,11:24:00
206082,727,Gillig_108,BYD_BEV,electric,206082,11:15:00,11:30:00
206883,703,Gillig_108,BYD_BEV,electric,206883,11:20:00,11:35:00
205247,135,Gillig_102,Gillig HF 2006,diesel,205247,11:15:00,11:45:00
205384,144,Gillig_102,Gillig HF 2006,diesel,205384,11:21:00,11:31:00
205503,143,Gillig_102,Gillig HF 2006,diesel,205503,11:17:00,11:28:00
204908,123,Gillig_103,Gillig HF 35' 2002,diesel,204908,11:26:00,11:50:00
205056,145,Gillig_107,Gillig LF 37' 2009,diesel,205056,11:20:00,11:50:00
205074,147,Gillig_101,Gillig LF 35' 2014,diesel,205074,11:25:00,11:55:00
205486,140,Gillig_102,Gillig HF 2006,diesel,205486,11:24:00,11:35:00
206771,136,Gillig_102,Gillig HF 2006,diesel,206771,11:25:00,11:55:00
205371,143,Gillig_102,Gillig HF 2006,diesel,205371,11:28:00,11:38:00
207272,146,Gillig_107,Gillig LF 37' 2009,diesel,207272,11:31:00,11:55:00
206790,138,Gillig_102,Gillig HF 2006,diesel,206790,11:15:00,11:45:00
206324,752,Gillig_108,BYD_BEV,electric,206324,11:30:00,12:30:00
205649,728,Gillig_108,BYD_BEV,electric,205649,11:20:00,11:45:00
206059,727,Gillig_108,BYD_BEV,electric,206059,11:30:00,11:45:00
204954,119,Gillig_103,Gillig HF 35' 2002,diesel,204954,11:35:00,12:25:00
205515,144,Gillig_102,Gillig HF 2006,diesel,205515,11:31:00,11:42:00
205356,140,Gillig_102,Gillig HF 2006,diesel,205356,11:35:00,11:45:00
206960,703,Gillig_108,BYD_BEV,electric,206960,11:35:00,11:50:00
205756,111,Gillig_103,Gillig HF 35' 2002,diesel,205756,11:40:00,12:15:00
205166,504,Gillig_105,Gillig 35' Hybrids 2014,hybrid,205166,11:36:00,12:20:00
205502,143,Gillig_102,Gillig HF 2006,diesel,205502,11:38:00,11:49:00
205383,144,Gillig_102,Gillig HF 2006,diesel,205383,11:42:00,11:52:00
205184,145,Gillig_107,Gillig LF 37' 2009,diesel,205184,11:50:00,12:45:00
206886,703,Gillig_108,BYD_BEV,electric,206886,11:50:00,12:05:00
205370,143,Gillig_102,Gillig HF 2006,diesel,205370,11:49:00,11:59:00
205664,728,Gillig_108,BYD_BEV,electric,205664,11:45:00,12:10:00
206081,727,Gillig_108,BYD_BEV,electric,206081,11:45:00,12:00:00
205260,135,Gillig_102,Gillig HF 2006,diesel,205260,11:45:00,12:15:00
205485,140,Gillig_102,Gillig HF 2006,diesel,205485,11:45:00,11:56:00
205514,144,Gillig_102,Gillig HF 2006,diesel,205514,11:52:00,12:03:00
205731,138,Gillig_102,Gillig HF 2006,diesel,205731,11:45:00,12:20:00
204907,147,Gillig_101,Gillig LF 35' 2014,diesel,204907,11:55:51,11:58:44
206339,501,Gillig_106,Gillig 37' Hybrids 2009,hybrid,206339,12:00:00,13:20:00
206795,136,Gillig_102,Gillig HF 2006,diesel,206795,11:55:00,12:25:00
205355,140,Gillig_102,Gillig HF 2006,diesel,205355,11:56:00,12:06:00
207273,146,Gillig_107,Gillig LF 37' 2009,diesel,207273,11:55:00,12:20:00
205922,154,Gillig_101,Gillig LF 35' 2014,diesel,205922,11:56:00,12:20:00
206058,727,Gillig_108,BYD_BEV,electric,206058,12:00:00,12:15:00
205501,143,Gillig_102,Gillig HF 2006,diesel,205501,11:59:00,12:10:00
206963,703,Gillig_108,BYD_BEV,electric,206963,12:05:00,12:20:00
206285,120,Gillig_103,Gillig HF 35' 2002,diesel,206285,12:00:00,13:00:00
205382,144,Gillig_102,Gillig HF 2006,diesel,205382,12:03:00,12:13:00
206023,134,Gillig_103,Gillig HF 35' 2002,diesel,206023,12:00:00,12:25:00
204953,123,Gillig_103,Gillig HF 35' 2002,diesel,204953,12:05:00,12:40:00
205369,143,Gillig_102,Gillig HF 2006,diesel,205369,12:10:00,12:20:00
205484,140,Gillig_102,Gillig HF 2006,diesel,205484,12:06:00,12:17:00
206770,111,Gillig_103,Gillig HF 35' 2002,diesel,206770,12:15:00,12:45:00
205513,144,Gillig_102,Gillig HF 2006,diesel,205513,12:13:00,12:24:00
206080,727,Gillig_108,BYD_BEV,electric,206080,12:15:00,12:30:00
205918,506,Gillig_105,Gillig 35' Hybrids 2014,hybrid,205918,12:26:00,12:50:00
204906,146,Gillig_107,Gillig LF 37' 2009,diesel,204906,12:25:00,12:45:00
204952,147,Gillig_101,Gillig LF 35' 2014,diesel,204952,12:25:00,12:55:00
