trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
199227070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199228070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199229070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199230070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199231070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199232070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199233070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199234070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199235070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199236070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199237070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199238070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199239070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199240070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199241070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199242070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199243070,14,3,"BROAD + 6TH",,1,1507,shp-14-55,2,2,1451
199244070,14,3,"BROAD + 6TH",,1,1607,shp-14-55,2,2,1452
199245070,14,3,"BROAD + 6TH",,1,1507,shp-14-54,2,2,1451
199246070,14,3,"BROAD + 6TH",,1,1607,shp-14-54,2,2,1452
194573070,15 A,3,"ST. ELMO/INCLINE",,0,2707,shp-15 A-52,2,2,1551
194575070,15 A,3,"ST. ELMO/INCLINE",,0,2707,shp-15 A-52,2,2,1551
194577070,15 A,3,"ST. ELMO/INCLINE",,0,2707,shp-15 A-52,2,2,1551
194579070,15 A,3,"ST. ELMO/INCLINE",,0,2707,shp-15 A-52,2,2,1551
194581070,15 A,3,"ST. ELMO/INCLINE",,0,2707,shp-15 A-52,2,2,1551
194583070,15 A,3,"ST. ELMO/INCLINE",,0,2707,shp-15 A-52,2,2,1551
194585070,15 A,3,"ST. ELMO/INCLINE",,0,2707,shp-15 A-52,2,2,1551
194587070,15 A,3,"ST. ELMO/INCLINE",,0,2707,shp-15 A-52,2,2,1551
194589070,15 A,3,"ST. ELMO/INCLINE",,0,2707,shp-15 A-52,2,2,1551
194591070,15 A,3,"ST.ELMO/INCLINE",,0,1807,shp-15 A-51,2,2,1502
194593070,15 A,3,"ST. ELMO/INCLINE",,0,1807,shp-15 A-52,2,2,1502
194595070,15 A,3,"ST. ELMO/INCLINE",,0,1807,shp-15 A-52,2,2,1502
194597070,15 A,3,"ST. ELMO/INCLINE",,0,1807,shp-15 A-52,2,2,1502
194599070,15 A,3,"ST.ELMO/INCLINE",,0,1807,shp-15 A-51,2,2,1502
199114070,15 A,3,"ST. ELMO/INCLINE",,0,2707,shp-15 A-52,2,2,1551
194601070,15 A,3,"ST. ELMO/INCLINE",,1,2707,shp-15 A-01,2,2,1551
194603070,15 A,3,"ST. ELMO/INCLINE",,1,2707,shp-15 A-01,2,2,1551
194605070,15 A,3,"ST. ELMO/INCLINE",,1,2707,shp-15 A-01,2,2,1551
194607070,15 A,3,"ST. ELMO/INCLINE",,1,2707,shp-15 A-01,2,2,1551
194609070,15 A,3,"ST. ELMO/INCLINE",,1,2707,shp-15 A-01,2,2,1551
194611070,15 A,3,"ST. ELMO/INCLINE",,1,2707,shp-15 A-01,2,2,1551
194613070,15 A,3,"ST. ELMO/INCLINE",,1,2707,shp-15 A-01,2,2,1551
194615070,15 A,3,"ST. ELMO/INCLINE",,1,2707,shp-15 A-01,2,2,1551
194617070,15 A,3,"ST. ELMO/INCLINE",,1,2707,shp-15 A-01,2,2,1551
194619070,15 A,3,"ST. ELMO/INCLINE",,1,1807,shp-15 A-01,2,2,1502
194621070,15 A,3,"ST. ELMO/INCLINE",,1,1807,shp-15 A-01,2,2,1502
194623070,15 A,3,"ST. ELMO/INCLINE",,1,1807,shp-15 A-01,2,2,1502
194625070,15 A,3,"ST. ELMO/INCLINE",,1,1807,shp-15 A-01,2,2,1502
194627070,15 A,3,"ST. ELMO/INCLINE",,1,1807,shp-15 A-01,2,2,1502
199115070,15 A,3,"ST. ELMO/INCLINE",,1,2707,shp-15 A-01,2,2,1551
194742070,16,3,"NORTHGATE",,0,7707,shp-16-13,2,2,955
194743070,16,3,"NORTHGATE",,0,7107,shp-16-13,2,2,906
194744070,16,3,"NORTHGATE",,0,7107,shp-16-13,2,2,906
194745070,16,3,"NORTHGATE",,0,6807,shp-16-13,2,2,903
194746070,16,3,"NORTHGATE",,0,7007,shp-16-13,2,2,905
194747070,16,3,"NORTHGATE",,0,6707,shp-16-13,2,2,902
194748070,16,3,"NORTHGATE",,0,6807,shp-16-13,2,2,903
194749070,16,3,"NORTHGATE",,0,6907,shp-16-13,2,2,904
194750070,16,3,"NORTHGATE",,0,6707,shp-16-13,2,2,902
194751070,16,3,"NORTHGATE",,0,6807,shp-16-06,2,2,903
194752070,16,3,"NORTHGATE",,0,7407,shp-16-13,2,2,952
194753070,16,3,"NORTHGATE",,0,7407,shp-16-13,2,2,952
194754070,16,3,"NORTHGATE",,0,7407,shp-16-13,2,2,952
194755070,16,3,"NORTHGATE",,0,7607,shp-16-13,2,2,954
194756070,16,3,"NORTHGATE",,0,7507,shp-16-13,2,2,953
194757070,16,3,"NORTHGATE",,0,7407,shp-16-13,2,2,952
194758070,16,3,"NORTHGATE",,0,7607,shp-16-13,2,2,954
194759070,16,3,"NORTHGATE",,0,7507,shp-16-13,2,2,953
194760070,16,3,"NORTHGATE",,0,7407,shp-16-06,2,2,952
194761070,16,3,"NORTHGATE",,0,7007,shp-16-13,2,2,905
194762070,16,3,"NORTHGATE",,0,6807,shp-16-13,2,2,903
194763070,16,3,"NORTHGATE",,0,7007,shp-16-13,2,2,905
194764070,16,3,"NORTHGATE",,0,2407,shp-16-13,2,2,153
194765070,16,3,"Northgate Mall",,1,7707,shp-16-14,2,2,955
194766070,16,3,"Northgate Mall",,1,7107,shp-16-14,2,2,906
194767070,16,3,"DOWNTOWN",,1,7107,shp-16-20,2,2,906
194768070,16,3,"DOWNTOWN",,1,6807,shp-16-20,2,2,903
194769070,16,3,"DOWNTOWN",,1,7007,shp-16-20,2,2,905
194770070,16,3,"Northgate Mall",,1,6707,shp-16-14,2,2,902
194771070,16,3,"DOWNTOWN",,1,6807,shp-16-20,2,2,903
194772070,16,3,"Northgate Mall",,1,6907,shp-16-14,2,2,904
194773070,16,3,"DOWNTOWN",,1,6707,shp-16-20,2,2,902
194774070,16,3,"DOWNTOWN",,1,6807,shp-16-20,2,2,903
194775070,16,3,"DOWNTOWN",,1,7407,shp-16-07,2,2,952
194776070,16,3,"DOWNTOWN",,1,7407,shp-16-20,2,2,952
194777070,16,3,"DOWNTOWN",,1,7007,shp-16-20,2,2,905
194778070,16,3,"Northgate Mall",,1,7407,shp-16-14,2,2,952
194779070,16,3,"DOWNTOWN",,1,7407,shp-16-20,2,2,952
194780070,16,3,"DOWNTOWN",,1,7407,shp-16-07,2,2,952
194781070,16,3,"DOWNTOWN",,1,7607,shp-16-20,2,2,954
194782070,16,3,"DOWNTOWN",,1,2407,shp-16-20,2,2,153
194783070,16,3,"Northgate Mall",,1,7507,shp-16-14,2,2,953
194784070,16,3,"DOWNTOWN",,1,7407,shp-16-20,2,2,952
194785070,16,3,"DOWNTOWN",,1,7607,shp-16-20,2,2,954
194786070,16,3,"DOWNTOWN",,1,7507,shp-16-20,2,2,953
194787070,16,3,"DOWNTOWN",,1,7407,shp-16-20,2,2,952
194788070,16,3,"Northgate Mall",,1,7007,shp-16-14,2,2,905
194789070,16,3,"Northgate Mall",,1,6807,shp-16-14,2,2,903
194928070,21,3,"GOLDEN GATEWAY",,0,4807,shp-21-01,2,2,405
194929070,21,3,"GOLDEN GATEWAY",,0,5207,shp-21-01,2,2,451
194930070,21,3,"GOLDEN GATEWAY",,0,4207,shp-21-01,2,2,351
194931070,21,3,"GOLDEN GATEWAY",,0,4307,shp-21-01,2,2,352
194932070,21,3,"GOLDEN GATEWAY",,0,4807,shp-21-01,2,2,405
194933070,21,3,"GOLDEN GATEWAY",,0,7507,shp-21-02,2,2,953
194934070,21,3,"GOLDEN GATEWAY",,0,5607,shp-21-02,2,2,455
194935070,21,3,"GOLDEN GATEWAY",,0,5807,shp-21-02,2,2,457
194936070,21,3,"GOLDEN GATEWAY",,0,5307,shp-21-01,2,2,452
194937070,21,3,"GOLDEN GATEWAY",,0,5807,shp-21-01,2,2,457
194938070,21,3,"GOLDEN GATEWAY",,0,5807,shp-21-01,2,2,457
194939070,21,3,"GOLDEN GATEWAY",,0,5307,shp-21-02,2,2,452
194940070,21,3,"GOLDEN GATEWAY",,0,4707,shp-21-01,2,2,404
194941070,21,3,"GOLDEN GATEWAY",,0,4807,shp-21-01,2,2,405
194942070,21,3,"GOLDEN GATEWAY",,0,4707,shp-21-01,2,2,404
194943070,21,3,"GOLDEN GATEWAY",,0,5107,shp-21-02,2,2,408
194944070,21,3,"GOLDEN GATEWAY",,0,5007,shp-21-02,2,2,407
194945070,21,3,"GOLDEN GATEWAY",,0,4807,shp-21-01,2,2,405
194946070,21,3,"GOLDEN GATEWAY",,0,4807,shp-21-02,2,2,405
194947070,21,3,"GOLDEN GATEWAY",,0,4807,shp-21-01,2,2,405
194948070,21,3,"DOWNTOWN",,1,4807,shp-21-52,2,2,405
194949070,21,3,"DOWNTOWN",,1,5207,shp-21-55,2,2,451
194950070,21,3,"DOWNTOWN",,1,4207,shp-21-55,2,2,351
194951070,21,3,"DOWNTOWN",,1,4307,shp-21-55,2,2,352
194952070,21,3,"DOWNTOWN",,1,4807,shp-21-52,2,2,405
194953070,21,3,"DOWNTOWN",,1,7507,shp-21-51,2,2,953
194954070,21,3,"DOWNTOWN",,1,5607,shp-21-53,2,2,455
194955070,21,3,"DOWNTOWN",,1,5807,shp-21-52,2,2,457
194956070,21,3,"DOWNTOWN",,1,5307,shp-21-51,2,2,452
194957070,21,3,"DOWNTOWN",,1,5807,shp-21-52,2,2,457
194958070,21,3,"DOWNTOWN",,1,5807,shp-21-55,2,2,457
194959070,21,3,"DOWNTOWN",,1,5307,shp-21-53,2,2,452
194960070,21,3,"DOWNTOWN",,1,4707,shp-21-55,2,2,404
194961070,21,3,"DOWNTOWN",,1,4807,shp-21-52,2,2,405
194962070,21,3,"DOWNTOWN",,1,4707,shp-21-52,2,2,404
194963070,21,3,"DOWNTOWN",,1,5107,shp-21-53,2,2,408
194964070,21,3,"DOWNTOWN",,1,5007,shp-21-53,2,2,407
194965070,21,3,"DOWNTOWN",,1,4807,shp-21-52,2,2,405
194966070,21,3,"DOWNTOWN",,1,4807,shp-21-52,2,2,405
194967070,21,3,"DOWNTOWN",,1,4807,shp-21-55,2,2,405
195134070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195135070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195136070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195137070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195138070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195139070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195140070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195141070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195142070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195143070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195144070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195145070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195146070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195147070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195148070,2A,3,"NORTH SHORE",,0,3007,shp-2A-51,2,2,201
195149070,2A,3,"NORTH SHORE",,0,3007,shp-2A-52,2,2,201
195150070,2A,3,"NORTH SHORE",,1,3007,shp-2A-02,2,2,201
195151070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195152070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195153070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195154070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195155070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195156070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195157070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195158070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195159070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195160070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195161070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195162070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195163070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195164070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195165070,2A,3,"NORTH SHORE SHUTTLE",,1,3007,shp-2A-01,2,2,201
195180070,3,3,"ENTERPRISE SOUTH",,0,4207,shp-3-18,2,2,351
195181070,3,3,"ENTERPRISE SOUTH",,0,4307,shp-3-19,2,2,352
195182070,3,3,"ENTERPRISE SOUTH",,0,4207,shp-3-19,2,2,351
195183070,3,3,"ENTERPRISE SOUTH",,0,3307,shp-3-18,2,2,301
195184070,3,3,"ENTERPRISE SOUTH",,0,3407,shp-3-19,2,2,302
195185070,3,3,"ENTERPRISE SOUTH",,0,3307,shp-3-18,2,2,301
195186070,3,3,"ENTERPRISE SOUTH",,0,3307,shp-3-19,2,2,301
195187070,3,3,"3 DOWNTOWN ",,1,3307,shp-3-51,2,2,301
195188070,3,3,"3 DOWNTOWN ",,1,3307,shp-3-51,2,2,301
195189070,3,3,"ENTERPRISE SOUTH",,1,3407,shp-3-16,2,2,302
195190070,3,3,"ENTERPRISE SOUTH",,1,3307,shp-3-16,2,2,301
195191070,3,3,"3 DOWNTOWN ",,1,4207,shp-3-51,2,2,351
195192070,3,3,"ENTERPRISE SOUTH",,1,4307,shp-3-17,2,2,352
195193070,3,3,"ENTERPRISE SOUTH",,1,4207,shp-3-17,2,2,351
196186070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196187070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196188070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196189070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196190070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196191070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196192070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196193070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196194070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196195070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196196070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196197070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196198070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196199070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196200070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196201070,33,3,"SHUTTLE PARK SOUTH",,1,3707,shp-33-51,2,2,3303
196202070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196203070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196204070,33,3,"SHUTTLE PARK SOUTH",,1,3707,shp-33-51,2,2,3303
196205070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196206070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196207070,33,3,"SHUTTLE PARK SOUTH",,1,3707,shp-33-51,2,2,3303
196208070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196209070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196210070,33,3,"SHUTTLE PARK SOUTH",,1,3707,shp-33-51,2,2,3303
196211070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196212070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196213070,33,3,"SHUTTLE PARK SOUTH",,1,3707,shp-33-51,2,2,3303
196214070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196215070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196216070,33,3,"SHUTTLE PARK SOUTH",,1,3707,shp-33-51,2,2,3303
196217070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196218070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196219070,33,3,"SHUTTLE PARK SOUTH",,1,3707,shp-33-51,2,2,3303
196220070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196221070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196222070,33,3,"SHUTTLE PARK SOUTH",,1,3707,shp-33-51,2,2,3303
196223070,33,3,"SHUTTLE PARK SOUTH",,1,4007,shp-33-51,2,2,3351
196224070,33,3,"SHUTTLE PARK SOUTH",,1,4107,shp-33-51,2,2,3352
196225070,33,3,"SHUTTLE PARK SOUTH",,1,3707,shp-33-51,2,2,3303
196226070,33,3,"SHUTTLE PARK SOUTH",,1,3507,shp-33-51,2,2,3301
196227070,33,3,"SHUTTLE PARK SOUTH",,1,3607,shp-33-51,2,2,3302
196228070,33,3,"SHUTTLE PARK SOUTH",,1,3707,shp-33-51,2,2,3303
196229070,33,3,"SHUTTLE PARK SOUTH",,1,3507,shp-33-51,2,2,3301
196230070,33,3,"SHUTTLE PARK SOUTH",,1,3607,shp-33-51,2,2,3302
196231070,33,3,"SHUTTLE PARK SOUTH",,1,3707,shp-33-51,2,2,3303
196232070,33,3,"SHUTTLE PARK SOUTH",,1,3507,shp-33-51,2,2,3301
196233070,33,3,"SHUTTLE PARK SOUTH",,1,3607,shp-33-51,2,2,3302
196234070,33,3,"SHUTTLE PARK SOUTH",,1,3707,shp-33-51,2,2,3303
196235070,33,3,"SHUTTLE PARK SOUTH",,1,3507,shp-33-51,2,2,3301
196236070,33,3,"SHUTTLE PARK SOUTH",,1,3607,shp-33-51,2,2,3302
196237070,33,3,"SHUTTLE PARK SOUTH",,1,3707,shp-33-51,2,2,3303
196238070,33,3,"SHUTTLE PARK SOUTH",,1,3507,shp-33-51,2,2,3301
